"","Treatment","Location","Col","Row","plot","Block","RIL","DAYS_TILL_BUDDING","GDD_TILL_BUDDING"
"239","LD","SA",18,9,98,1,"RIL205",91,1111.52950614213
"240","LD","SA",26,20,378,2,"RIL205",77,960.291455535771
"241","LD","SA",25,4,127,1,"RIL206",77,960.291455535771
"242","LD","SA",18,21,340,2,"RIL206",77,960.291455535771
"243","LD","SA",17,5,89,1,"RIL207",91,1111.52950614213
"244","LD","SA",29,13,397,2,"RIL207",91,1111.52950614213
"245","LD","SA",18,3,86,1,"RIL208",77,960.291455535771
"246","LD","SA",6,15,274,2,"RIL208",77,960.291455535771
"247","LD","SA",1,3,5,1,"RIL21",77,960.291455535771
"248","LD","SA",18,19,336,2,"RIL21",84,1038.0575228229
"249","LD","SA",45,3,235,1,"RIL210",77,960.291455535771
"250","LD","SA",22,19,346,2,"RIL210",84,1038.0575228229
"251","LD","SA",38,4,194,1,"RIL211",77,960.291455535771
"252","LD","SA",45,20,463,2,"RIL211",84,1038.0575228229
"253","LD","SA",45,7,227,1,"RIL212",77,960.291455535771
"254","LD","SA",14,19,306,2,"RIL212",77,960.291455535771
"255","LD","SA",17,10,99,1,"RIL213",77,960.291455535771
"256","LD","SA",2,15,248,2,"RIL213",84,1038.0575228229
"257","LD","SA",41,4,207,1,"RIL214",77,960.291455535771
"258","LD","SA",18,16,330,2,"RIL214",84,1038.0575228229
"259","LD","SA",30,7,148,1,"RIL215",84,1038.0575228229
"260","LD","SA",29,20,383,2,"RIL215",70,884.477299169934
"261","LD","SA",33,1,161,1,"RIL216",77,960.291455535771
"262","LD","SA",33,21,419,2,"RIL216",77,960.291455535771
"263","LD","SA",38,6,190,1,"RIL217",77,960.291455535771
"264","LD","SA",38,15,434,2,"RIL217",77,960.291455535771
"265","LD","SA",29,7,147,1,"RIL218",84,1038.0575228229
"266","LD","SA",13,14,315,2,"RIL218",91,1111.52950614213
"267","LD","SA",1,6,11,1,"RIL219",77,960.291455535771
"268","LD","SA",22,18,348,2,"RIL219",77,960.291455535771
"269","LD","SA",9,7,53,1,"RIL22",91,1111.52950614213
"270","LD","SA",14,16,312,2,"RIL22",84,1038.0575228229
"271","LD","SA",37,2,197,1,"RIL220",77,960.291455535771
"272","LD","SA",1,18,253,2,"RIL220",77,960.291455535771
"273","LD","SA",5,7,27,1,"RIL221",84,1038.0575228229
"274","LD","SA",22,21,342,2,"RIL221",91,1111.52950614213
"275","LD","SA",46,4,234,1,"RIL222",91,1111.52950614213
"276","LD","SA",46,18,468,2,"RIL222",77,960.291455535771
"277","LD","SA",18,6,92,1,"RIL223",77,960.291455535771
"278","LD","SA",21,16,351,2,"RIL223",70,884.477299169934
"279","LD","SA",37,5,191,1,"RIL224",77,960.291455535771
"280","LD","SA",10,15,288,2,"RIL224",91,1111.52950614213
"281","LD","SA",21,1,119,1,"RIL225",77,960.291455535771
"282","LD","SA",1,15,247,2,"RIL225",77,960.291455535771
"283","LD","SA",14,2,78,1,"RIL226",77,960.291455535771
"284","LD","SA",13,17,309,2,"RIL226",77,960.291455535771
"285","LD","SA",42,8,216,1,"RIL227",77,960.291455535771
"286","LD","SA",29,14,395,2,"RIL227",77,960.291455535771
"287","LD","SA",41,10,219,1,"RIL228",70,884.477299169934
"288","LD","SA",14,13,318,2,"RIL228",70,884.477299169934
"289","LD","SA",38,2,198,1,"RIL229",77,960.291455535771
"290","LD","SA",30,12,400,2,"RIL229",84,1038.0575228229
"291","LD","SA",14,4,74,1,"RIL23",84,1038.0575228229
"292","LD","SA",41,19,455,2,"RIL23",77,960.291455535771
"293","LD","SA",10,7,54,1,"RIL230",77,960.291455535771
"294","LD","SA",30,18,388,2,"RIL230",77,960.291455535771
"295","LD","SA",26,4,128,1,"RIL231",77,960.291455535771
"296","LD","SA",34,12,402,2,"RIL231",84,1038.0575228229
"297","LD","SA",26,10,140,1,"RIL232",84,1038.0575228229
"298","LD","SA",17,17,331,2,"RIL232",77,960.291455535771
"299","LD","SA",25,7,133,1,"RIL233",77,960.291455535771
"300","LD","SA",30,15,394,2,"RIL233",77,960.291455535771
